date,game_id,temp_high,temp_low,precipitation,wind_speed,windy,weather_description
2015-03-25,400579352,68.2,50.5,0.028,8.5,0,Drizzle
2015-01-19,400578903,59.8,30.8,0.0,10.2,0,Partly cloudy
2015-03-30,400579393,66.2,39.7,0.15,12.7,0,Rain
2014-12-23,400578701,44.3,37.2,0.437,7.3,0,Rain
2015-01-03,400578776,50.7,42.5,0.272,5.7,0,Rain
2014-11-01,400578320,50.6,41.4,0.72,15.5,0,Rain
2014-11-25,400578490,61.8,51.0,0.106,9.7,0,Rain
2014-12-18,400578661,53.0,33.3,0.0,7.1,0,Partly cloudy
2015-04-01,400579404,70.3,47.1,0.0,9.4,0,Partly cloudy
2015-02-22,400579108,56.5,38.2,0.213,8.6,0,Drizzle
2014-10-29,400578296,77.8,59.1,0.035,9.6,0,Drizzle
2014-11-22,400578464,52.9,29.4,0.0,5.1,0,Partly cloudy
2014-12-06,400578568,53.0,41.5,0.232,12.8,0,Rain
2014-11-06,400578349,66.7,53.1,0.083,14.4,0,Drizzle
2015-01-22,400578917,55.9,35.2,0.0,5.7,0,Partly cloudy
2015-03-11,400579244,75.6,57.9,0.091,10.5,0,Drizzle
2015-03-28,400579379,50.2,34.9,0.0,11.6,0,Partly cloudy
2014-12-04,400578555,58.8,45.9,0.0,7.5,0,Partly cloudy
2014-11-29,400578516,53.1,30.5,0.0,9.2,0,Partly cloudy
2015-03-13,400579259,54.8,44.3,0.075,7.9,0,Drizzle
2015-02-11,400579075,52.7,29.7,0.0,9.2,0,Clear sky
2015-02-08,400579060,64.0,42.8,0.0,14.8,0,Partly cloudy
2014-12-28,400578736,58.8,46.9,0.213,11.1,0,Drizzle
2014-11-18,400578438,38.7,27.3,0.0,10.1,0,Partly cloudy
2015-01-18,400578892,56.4,38.0,0.024,13.3,0,Drizzle
2015-03-09,400579230,59.3,47.1,0.012,7.5,0,Drizzle
2015-04-08,400579452,82.7,56.9,0.004,7.0,0,Drizzle
2014-11-27,400578502,49.0,37.1,0.024,10.4,0,Drizzle
2015-03-07,400579203,56.2,26.5,0.0,8.4,0,Clear sky
2014-12-30,400578751,49.4,35.8,0.02,8.9,0,Drizzle
2014-11-08,400578363,57.9,36.3,0.0,7.2,0,Partly cloudy
2015-01-08,400578814,27.2,15.9,0.0,15.3,0,Partly cloudy
2015-01-25,400578944,54.2,27.9,0.0,9.4,0,Partly cloudy
2014-12-11,400578608,47.8,27.6,0.0,5.7,0,Partly cloudy
2015-01-15,400578866,42.5,29.8,0.016,5.4,0,Drizzle
2015-03-04,400579182,70.2,44.0,0.008,17.9,0,Drizzle
2015-04-13,400579494,72.4,53.6,0.016,9.2,0,Drizzle
2015-02-06,400579034,42.6,23.9,0.0,6.5,0,Partly cloudy
2014-12-21,400578687,49.7,36.7,0.0,5.6,0,Partly cloudy
2014-12-14,400578633,57.5,31.4,0.0,6.0,0,Clear sky
2015-04-04,400579429,68.9,47.9,0.0,15.6,0,Partly cloudy
2015-11-29,400828133,68.5,49.6,0.079,5.7,0,Drizzle
2015-12-08,400828191,58.6,36.8,0.0,5.7,0,Partly cloudy
2016-03-16,400828891,81.2,58.4,0.0,9.7,0,Partly cloudy
2015-12-10,400828207,64.4,46.0,0.0,8.3,0,Partly cloudy
2016-01-14,400828464,55.3,28.0,0.0,8.5,0,Partly cloudy
2016-03-05,400828799,53.7,30.9,0.02,7.1,0,Drizzle
2016-03-13,400828862,73.9,59.1,0.098,9.7,0,Drizzle
2016-04-08,400829065,59.5,46.8,0.004,10.4,0,Drizzle
2015-12-13,400828232,68.0,50.0,0.0,7.1,0,Partly cloudy
2016-02-09,400828661,39.4,29.9,0.016,13.2,0,Snow
2016-03-02,400828778,60.5,38.7,0.276,13.6,0,Rain
2016-03-21,400828930,54.6,35.4,0.0,10.1,0,Partly cloudy
2016-01-03,400828384,51.4,32.6,0.0,5.8,0,Partly cloudy
2015-12-31,400828361,63.9,56.0,0.327,7.9,0,Rain
2015-11-15,400828034,58.5,33.9,0.0,4.9,0,Partly cloudy
2016-04-01,400829015,71.6,62.5,0.843,15.7,0,Rain
2015-11-04,400827940,68.1,60.2,0.016,6.5,0,Drizzle
2016-01-18,400828503,35.1,24.6,0.0,10.0,0,Clear sky
2015-12-18,400828270,56.5,37.9,0.02,14.4,0,Drizzle
2016-03-08,400828824,70.9,42.2,0.0,7.7,0,Partly cloudy
2016-02-07,400828648,47.4,33.3,0.0,11.4,0,Partly cloudy
2015-12-29,400828345,71.6,63.1,0.39,13.8,0,Rain
2016-03-10,400828837,74.2,54.7,0.0,12.8,0,Partly cloudy
2015-11-26,400828102,62.2,37.0,0.0,7.3,0,Partly cloudy
2015-11-24,400828089,53.6,31.3,0.0,4.6,0,Partly cloudy
2016-01-17,400828490,46.5,34.9,0.043,10.8,0,Snow
2015-12-24,400828310,69.6,64.9,0.362,14.5,0,Rain
2015-11-12,400828000,70.6,47.7,0.0,18.4,0,Partly cloudy
2016-02-06,400828638,46.5,27.4,0.0,4.8,0,Partly cloudy
2016-03-14,400828875,74.8,58.5,0.067,9.9,0,Drizzle
2015-12-03,400828155,53.1,41.7,0.0,8.9,0,Partly cloudy
2015-11-01,400827926,60.6,55.8,0.878,7.1,0,Rain
2015-12-27,400828330,70.1,64.3,0.024,10.2,0,Drizzle
2016-04-14,400829106,64.9,43.8,0.0,7.5,0,Partly cloudy
2016-03-12,400828850,76.4,56.7,0.0,7.3,0,Partly cloudy
2015-11-28,400828114,66.3,45.2,0.0,4.6,0,Partly cloudy
2016-02-04,400828622,57.4,49.9,0.157,9.9,0,Rain
2016-01-24,400828542,41.5,21.3,0.0,10.6,0,Partly cloudy
2015-11-19,400828052,69.4,55.4,0.63,11.4,0,Rain
2016-03-19,400828915,65.7,47.8,0.504,11.1,0,Rain
2015-11-21,400828065,55.9,36.7,0.02,5.4,0,Drizzle
2017-03-18,400900425,70.0,48.0,0.157,14.8,0,Rain
2017-04-05,400900543,69.6,52.3,0.311,16.6,0,Rain
2016-12-10,400899779,40.7,25.3,0.0,4.6,0,Partly cloudy
2017-04-08,400900567,63.7,38.7,0.0,8.6,0,Partly cloudy
2016-11-24,400899663,70.4,49.0,0.118,8.2,0,Drizzle
2017-03-24,400900468,68.7,40.8,0.0,11.1,0,Partly cloudy
2017-03-28,400900498,79.4,59.5,0.185,14.4,0,Rain
2017-02-11,400900213,69.8,44.5,0.0,15.4,0,Partly cloudy
2016-12-24,400899884,58.9,41.7,0.047,8.6,0,Drizzle
2017-01-29,400900125,49.4,33.3,0.004,15.1,0,Drizzle
2016-12-04,400899734,46.1,40.6,0.654,5.4,0,Rain
2017-03-07,400900336,70.6,49.6,0.012,19.6,0,Drizzle
2017-03-31,400900522,75.0,59.0,0.276,19.8,0,Rain
2016-11-08,400899545,65.1,43.2,0.0,7.1,0,Partly cloudy
2017-03-20,400900439,67.6,33.9,0.0,7.9,0,Partly cloudy
2016-11-19,400899624,67.8,44.5,0.0,17.0,0,Partly cloudy
2017-02-14,400900226,64.0,36.6,0.0,9.6,0,Partly cloudy
2017-01-22,400900073,65.3,53.6,0.413,15.7,0,Rain
2016-12-08,400899763,51.4,38.3,0.0,9.9,0,Partly cloudy
2017-01-19,400900050,61.3,40.7,0.0,6.4,0,Partly cloudy
2016-11-02,400899506,78.5,55.1,0.0,5.1,0,Partly cloudy
2017-01-01,400899947,47.3,40.3,0.252,10.3,0,Rain
2017-02-10,400900199,51.1,26.7,0.0,13.5,0,Partly cloudy
2017-01-21,400900063,59.5,52.7,1.394,14.4,0,Rain
2017-03-12,400900371,49.3,31.5,0.248,10.9,0,Snow
2017-01-24,400900086,58.5,44.1,0.008,11.7,0,Drizzle
2016-12-02,400899365,55.8,39.7,0.0,7.2,0,Partly cloudy
2016-12-30,400899928,46.0,33.0,0.0,14.5,0,Clear sky
2017-03-13,400900386,46.2,28.4,0.276,11.6,0,Rain
2016-11-10,400899558,64.3,44.3,0.0,8.2,0,Clear sky
2017-02-08,400900184,69.3,49.0,0.28,11.6,0,Rain
2016-11-27,400899691,55.0,35.7,0.0,6.5,0,Partly cloudy
2016-11-30,400899710,71.8,62.9,0.622,14.5,0,Rain
2017-01-26,400900108,60.1,43.5,0.181,16.9,0,Rain
2017-01-05,400899950,45.0,30.3,0.0,8.5,0,Partly cloudy
2016-10-29,400899477,78.8,53.0,0.0,7.7,0,Partly cloudy
2017-03-26,400900482,73.5,55.6,0.004,12.5,0,Drizzle
2016-12-21,400899861,53.9,27.4,0.0,6.1,0,Partly cloudy
2017-03-11,400900360,48.1,36.6,0.0,8.0,0,Partly cloudy
2016-11-12,400899573,57.3,43.6,0.0,9.9,0,Partly cloudy
2016-11-22,400899651,57.8,31.8,0.0,5.6,0,Partly cloudy
2017-10-25,400974806,60.4,43.2,0.008,11.4,0,Drizzle
2018-01-13,400975364,53.5,27.4,0.0,13.7,0,Partly cloudy
2018-04-08,400975943,52.9,34.2,0.059,14.1,0,Drizzle
2018-04-01,400975889,72.8,43.6,0.0,8.7,0,Partly cloudy
2017-11-19,400974979,62.9,39.5,0.169,21.3,1,Rain
2018-01-18,400975399,33.9,6.0,0.0,8.6,0,Partly cloudy
2018-03-26,400975849,53.2,33.8,0.0,12.0,0,Partly cloudy
2017-12-19,400975192,68.0,42.3,0.0,9.5,0,Partly cloudy
2017-12-17,400975180,50.2,30.7,0.0,6.8,0,Partly cloudy
2017-10-20,400974770,76.9,47.0,0.0,6.9,0,Clear sky
2018-03-10,400975733,60.3,36.7,0.102,7.3,0,Drizzle
2017-11-01,400974856,71.3,48.6,0.0,7.4,0,Partly cloudy
2017-12-24,400975232,59.0,45.0,0.0,10.7,0,Partly cloudy
2017-12-28,400975252,34.6,21.7,0.0,10.3,0,Partly cloudy
2017-11-23,400975004,54.0,36.4,0.0,9.9,0,Partly cloudy
2018-01-13,400975375,53.5,27.4,0.0,13.7,0,Partly cloudy
2018-01-11,400975349,67.5,48.1,0.106,16.6,0,Rain
2018-02-03,400975512,40.9,19.9,0.0,7.2,0,Partly cloudy
2017-12-05,400975090,69.7,51.9,0.102,14.9,0,Drizzle
2017-12-16,400975169,48.6,26.9,0.0,7.8,0,Partly cloudy
2017-11-26,400975028,57.6,40.0,0.0,8.9,0,Clear sky
2018-03-22,400975818,53.1,31.4,0.0,14.7,0,Partly cloudy
2017-12-21,400975205,53.5,45.1,0.0,7.8,0,Partly cloudy
2018-01-27,400975460,61.8,37.6,0.051,11.2,0,Drizzle
2017-11-21,400974992,62.2,37.9,0.126,6.2,0,Rain
2018-03-09,400975718,50.9,28.2,0.0,10.6,0,Partly cloudy
