theme,overall_mention_rate,low_rating_mention_rate,high_rating_mention_rate,low_minus_high_gap
experience_atmosphere,0.35070140280561124,0.2894736842105263,0.365,-0.07552631578947366
customer_service,0.2925851703406814,0.39473684210526316,0.2725,0.12223684210526314
access_parking,0.2605210420841683,0.3026315789473684,0.25,0.05263157894736842
food_beverage,0.17635270541082165,0.23684210526315788,0.165,0.07184210526315787
cleanliness,0.13026052104208416,0.09210526315789473,0.14,-0.04789473684210528
quality_consistency,0.1282565130260521,0.32894736842105265,0.0875,0.24144736842105266
speed_wait_time,0.12224448897795591,0.2894736842105263,0.0925,0.19697368421052633
pricing_value,0.07214428857715431,0.15789473684210525,0.0475,0.11039473684210525
